Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.513797,0.37483507,0.25644332,0.32508332,0.09018916,0.39364243,0.6068782,0.48568982,0.0
0.5419057,0.33055222,0.24762335,0.3262334,0.09007578,0.39368165,0.60687923,0.48568982,1.0
0.5665965,0.28321275,0.2380454,0.32735112,0.09007578,0.39368165,0.60687923,0.48568982,2.0
0.59055245,0.2331428,0.22805472,0.3286421,0.08995249,0.39368165,0.60687923,0.48568982,3.0
0.59749556,0.18049113,0.21740173,0.3305584,0.09014558,0.39369354,0.606887,0.48568982,4.0
0.58314323,0.12707512,0.20654061,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,5.0
0.55787116,0.07488338,0.1977654,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,6.0
0.56617653,0.028090332,0.19723517,0.32843283,0.10650824,0.38911676,0.61062163,0.48568982,7.0
0.52506596,0.025755405,0.19866253,0.3326685,0.09084359,0.3934441,0.60667574,0.48568982,8.0
0.526945,0.026132971,0.2064263,0.3332362,0.09211038,0.3926257,0.6074857,0.48568982,9.0
0.53337777,0.028989524,0.19338171,0.33276728,0.088136174,0.3961246,0.6064603,0.48568982,10.0
0.5144207,0.025912434,0.19781378,0.32149047,0.0900292,0.39374185,0.60690445,0.48568982,11.0
0.51270515,0.02602369,0.2048869,0.3304155,0.08541698,0.39374185,0.60690445,0.48568982,12.0
0.559826,0.028717164,0.19803596,0.32699093,0.10505486,0.3885459,0.6106883,0.48568982,13.0
0.5160111,0.029847331,0.18780595,0.31524304,0.09355066,0.40172115,0.6020441,0.48568982,14.0
0.5580601,0.0309469,0.18459173,0.32903564,0.10910422,0.39409843,0.6057976,0.48568982,15.0
0.5475258,0.02795884,0.19234605,0.32811826,0.10175585,0.39725396,0.6094114,0.48563486,16.0
0.54831326,0.034071717,0.1708479,0.3224271,0.09338424,0.3898531,0.60616624,0.48568982,17.0
0.52877736,0.025210641,0.20424378,0.33268583,0.08999644,0.393775,0.60684574,0.48568982,18.0
0.5609067,0.026644932,0.19972436,0.32792076,0.10673412,0.3887978,0.6102955,0.48568982,19.0
0.5427785,0.032457147,0.17112389,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,20.0
0.538514,0.027086496,0.20569396,0.329922,0.091149256,0.39253393,0.60662436,0.48568982,21.0
0.5229765,0.025095835,0.20238706,0.3289569,0.0900292,0.39374185,0.60690445,0.48568982,22.0
0.53067213,0.029797055,0.17609538,0.33472437,0.08980963,0.39331555,0.6070779,0.48568982,23.0
0.53553,0.029695135,0.18507133,0.3315809,0.09098444,0.39357322,0.6078892,0.48568982,24.0
0.5359649,0.025295224,0.1991615,0.3271002,0.09012923,0.38881585,0.60690445,0.48568982,25.0
0.5695535,0.02681518,0.19306289,0.32843283,0.10650824,0.38911676,0.61062163,0.48568982,26.0
0.5278128,0.03085538,0.17848974,0.327092,0.08769087,0.3937289,0.60688853,0.48568982,27.0
0.5404726,0.028007243,0.19018851,0.33413053,0.0900292,0.39374185,0.60690445,0.48568982,28.0
0.540134,0.028313626,0.19035512,0.32913408,0.08913329,0.39044625,0.6040589,0.48568982,29.0
0.52721685,0.024855755,0.19959654,0.33037853,0.08938564,0.3943821,0.60683227,0.48568982,30.0
0.5259821,0.025609896,0.19307771,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,31.0
0.5413552,0.030569121,0.17730469,0.33224732,0.090229996,0.39354944,0.60690445,0.48568982,32.0
0.52790195,0.025230318,0.20280361,0.33140716,0.088513136,0.39171195,0.6049972,0.48568982,33.0
0.55300295,0.027907941,0.19677104,0.3338971,0.09701673,0.39210364,0.60358083,0.48568982,34.0
0.52543414,0.026912916,0.19789803,0.33287075,0.09006818,0.3937087,0.6070006,0.48568982,35.0
0.5310126,0.026442565,0.20719457,0.3236501,0.0900292,0.39374185,0.60690445,0.48568982,36.0
0.54941374,0.030125126,0.18935114,0.3439977,0.08227287,0.3880241,0.62105227,0.48568982,37.0
0.5428035,0.027418196,0.19832544,0.3205278,0.100641705,0.3936243,0.60358876,0.48568982,38.0
0.52851737,0.02705627,0.20434137,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,39.0
0.5064959,0.026227526,0.19636549,0.3344742,0.079403274,0.39838928,0.60710156,0.48568982,40.0
0.53596073,0.031490825,0.1739826,0.33194736,0.08661173,0.392701,0.610302,0.48568982,41.0
0.5216098,0.026577398,0.19681244,0.33389005,0.08695527,0.394184,0.60690445,0.48568982,42.0
0.53332937,0.026826598,0.19572148,0.33185363,0.09324004,0.39110264,0.6087909,0.48568982,43.0
0.5451322,0.028205238,0.17966306,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,44.0
0.5294344,0.026544236,0.20928508,0.3276338,0.09180264,0.39250356,0.60288477,0.48568982,45.0
0.5413796,0.029401176,0.17676245,0.3320545,0.0900292,0.39374185,0.60690445,0.48573595,46.0
0.5232424,0.025633946,0.19816144,0.32662502,0.089265056,0.39364338,0.6073484,0.48568982,47.0
0.54055387,0.033909786,0.17265464,0.33165875,0.09094167,0.39336646,0.60725886,0.48568982,48.0
0.52463007,0.028033275,0.19534779,0.31466305,0.08765021,0.39438027,0.6062352,0.48568982,49.0
0.5443441,0.028277937,0.2024574,0.33055305,0.09058431,0.39061007,0.6063713,0.48568982,50.0
0.5304489,0.030522797,0.18165518,0.33205497,0.090052925,0.39370397,0.60688907,0.48568982,51.0
0.53867626,0.032677304,0.17278811,0.32351062,0.09437838,0.39018884,0.60690445,0.48568982,52.0
0.531647,0.025119204,0.19409782,0.33561853,0.087865695,0.39475983,0.6080923,0.48568982,53.0
0.54374766,0.025465,0.20216516,0.3378238,0.091235116,0.39433843,0.6105274,0.48568982,54.0
0.53325266,0.029214595,0.19820957,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,55.0
0.52862644,0.035343263,0.16863972,0.32233158,0.091898374,0.39374185,0.60690445,0.48568982,56.0
0.52683884,0.026515286,0.19777267,0.3449123,0.08852757,0.39538643,0.60690445,0.48568982,57.0
0.5645412,0.028090332,0.19723517,0.32843283,0.10650824,0.38911676,0.61062163,0.48568982,58.0
